Telepules;Kod
"Tiszakeszi";106
"Tiszaladány";122
"Tiszalúc";186
"Tiszapalkonya";106
"Tiszatardos";122
"Tiszatarján";106
"Tiszaújváros";106
"Tiszavalk";103
"Tokaj";185
"Tolcsva";184
"Tomor";167
"Tornabarakony";188
"Tornakápolna";189
"Tornanádaska";187
"Tornaszentandrás";188
"Tornaszentjakab";29
"Tornyosnémeti";72
"Trizs";132
"Újcsanálos";186
"Uppony";134
"Vadna";133
"Vajdácska";79
"Varbó";133
"Varbóc";189
"Vatta";100
"Vágáshuta";74
"Vámosújfalu";184
"Vilmány";167
"Vilyvitány";74
"Viss";121
"Viszló";29
"Vizsoly";167
"Zalkod";121
"Zádorfalva";132
"Zemplénagárd";79
"Ziliz";29
"Zubogy";132
"Zsujta";167
"Algyő";152
"Ambrózfalva";9
"Apátfalva";92
"Árpádhalom";53
"Ásotthalom";151
"Baks";152
"Balástya";151
"Bordány";151
"Csanádalberti";9
"Csanádpalota";92
"Csanytelek";152
"Csengele";151
"Csongrád";152
"Derekegyház";53
"Deszk";190
"Dóc";152
"Domaszék";151
"Eperjes";53
"Fábiánsebestyén";54
"Felgyő";152
"Ferencszállás";190
"Forráskút";151
"Földeák";92
"Hódmezővásárhely";53
"Királyhegyes";92
"Kistelek";151
"Kiszombor";118
"Klárafalva";190
"Kövegy";92
"Kübekháza";190
"Magyarcsanád";92
"Makó";92
"Maroslele";92
"Mártély";53
"Mindszent";54
"Mórahalom";151
"Nagyér";9
"Nagylak";92
"Nagymágocs";53
"Nagytőke";54
"Óföldeák";92
"Ópusztaszer";152
"Öttömös";151
"Pitvaros";9
"Pusztamérges";36
"Pusztaszer";152
"Röszke";151
"Ruzsa";151
"Sándorfalva";152
"Szatymaz";151
"Szeged";151
"Szőreg";190
"Tápé";152
"Gyála";190
"Kiskundorozsma";151
"Szegvár";54
"Székkutas";53
"Szentes";54
"Tiszasziget";190
"Tömörkény";152
"Újszentiván";190
"Üllés";151
"Zákányszék";151
"Zsombó";151
"Aba";164
"Adony";137
"Alap";137
"Alcsútdoboz";196
"Alsószentiván";137
"Bakonycsernye";210
"Bakonykúti";111
"Balinka";111
"Baracs";137
"Baracska";195
"Beloiannisz";195
"Besnyő";195
"Bicske";196
"Bodajk";111
"Bodmér";196
"Cece";137
"Csabdi";196
"Csákberény";111
"Csákvár";111
"Csókakő";111
"Csór";111
"Csősz";164
"Daruszentmiklós";137
"Dég";200
"Dunaújváros";137
"Előszállás";137
"Enying";200
"Ercsi";195
"Etyek";196
"Fehérvárcsurgó";111
"Felcsút";196
"Füle";164
"Gánt";111
"Gárdony";164
"Gyúró";196
"Hantos";137
"Igar";137
"Iszkaszentgyörgy";111
"Isztimér";111
"Iváncsa";195
"Jenő";164
"Kajászó";195
"Káloz";137
"Kápolnásnyék";164
"Kincsesbánya";111
"Kisapostag";137
"Kisláng";164
"Kőszárhegy";164
"Kulcs";137
"Lajoskomárom";200
"Lepsény";200
"Lovasberény";164
"Magyaralmás";111
"Martonvásár";195
"Mány";196
"Mátyásdomb";200
"Mezőfalva";137
"Mezőkomárom";200
"Mezőszentgyörgy";200
"Mezőszilas";200
"Moha";164
"Mór";111
"Nadap";164
"Nagykarácsony";137
"Nagylók";137
"Nagyveleg";111
"Nagyvenyim";137
"Nádasdladány";164
"Óbarok";196
"Pákozd";164
"Pátka";164
"Pázmánd";164
"Perkáta";137
"Polgárdi";164
"Pusztaszabolcs";137
"Pusztavám";111
"Rácalmás";137
"Ráckeresztúr";195
"Sárbogárd";137
"Sáregres";137
"Sárkeresztes";164
"Sárkeresztúr";137
"Sárkeszi";164
"Sárosd";137
"Sárszentágota";137
"Sárszentmihály";164
"Seregélyes";164
"Soponya";164
"Söréd";111
"Sukoró";164
"Szabadbattyán";164
"Szabadegyháza";137
"Szabadhídvég";67
"Szár";196
"Székesfehérvár";164
"Tabajd";196
"Tác";164
"Tordas";195
"Újbarok";196
"Úrhida";164
"Vajta";137
"Vál";196
"Velence";164
"Vereb";164
"Vértesacsa";196
"Vértesboglár";111
"Zámoly";164
"Zichyújfalu";164
"Abda";47
"Acsalag";65
"Agyagosszergény";113
"Ágfalva";143
"Árpás";66
"Ásványráró";47
"Babót";64
"Bakonypéterd";210
"Barbacs";65
"Bágyogszovát";66
"Beled";64
"Bezenye";120
"Bezi";45
"Bodonhely";66
"Bogyoszló";65
"Bőny";48
"Börcs";47
"Bősárkány";65
"Cakóháza";45
"Cirák";64
"Csapod";64
"Csáfordjánosfa";18
"Csér";18
"Csikvánd";46
"Csorna";65
"Darnózseli";95
"Dénesfa";64
"Dör";66
"Dunakiliti";120
"Dunaremete";95
"Dunaszeg";47
"Dunaszentpál";47
"Dunasziget";120
"Ebergőc";113
"Edve";66
"Egyed";66
"Egyházasfalu";18
"Enese";45
"Écs";48
"Farád";65
"Fehértó";45
"Feketeerdő";95
"Felpéc";48
"Fertőboz";112
"Fertőd";113
"Fertőendréd";113
"Fertőhomok";113
"Fertőrákos";143
"Fertőszentmiklós";113
"Fertőszéplak";113
"Gönyű";48
"Gyalóka";18
"Gyarmat";48
"Gyóró";64
"Gyömöre";48
"Győr";48
"Győrasszonyfa";48
"Győrladamér";47
"Győrság";48
"Győrsövényház";45
"Győrszemere";48
"Győrújbarát";48
"Győrújfalu";47
"Győrzámoly";47
"Halászi";95
"Harka";112
"Hegyeshalom";120
"Hegykő";113
"Hédervár";47
"Hidegség";112
"Himod";64
"Hövej";64
"Ikrény";45
"Iván";18
"Jánossomorja";95
"Jobaháza";65
"Kajárpéc";48
"Kapuvár";64
"Károlyháza";95
"Kimle";95
"Kisbabot";46
"Kisbajcs";47
"Kisbodak";95
"Kisfalud";65
"Kóny";45
"Kópháza";112
"Koroncó";46
"Kunsziget";47
"Lázi";210
"Levél";120
"Lébény";95
"Lipót";95
"Lövő";112
"Maglóca";65
"Magyarkeresztúr";65
"Markotabödöge";45
"Máriakálnok";95
"Mecsér";95
"Mezőörs";48
"Mérges";46
"Mihályi";65
"Mórichida";46
"Mosonmagyaróvár";95
"Mosonszentmiklós";95
"Mosonszolnok";95
"Mosonudvar";95
"Nagybajcs";47
"Nagycenk";112
"Nagylózs";113
"Nagyszentjános";48
"Nemeskér";112
"Nyalka";48
"Nyúl";48
"Osli";64
"Öttevény";47
"Pannonhalma";48
"Páli";66
"Pásztori";66
"Pázmándfalu";48
"Pereszteg";113
"Petőháza";113
"Pér";48
"Pinnye";113
"Potyond";65
"Pusztacsalád";64
"Püski";95
"Rajka";120
"Ravazd";48
"Rábacsanak";66
"Rábacsécsény";45
"Rábakecöl";66
"Rábapatona";45
"Rábapordány";66
"Rábasebes";66
"Rábaszentandrás";66
"Rábaszentmihály";46
"Rábaszentmiklós";46
"Rábatamási";65
"Rábcakapi";45
"Répceszemere";18
"Répcevis";18
"Rétalap";48
"Röjtökmuzsaj";113
"Sarród";113
"Sobor";66
"Sokorópátka";48
"Sopron";143
"Sopronhorpács";18
"Sopronkövesd";112
"Sopronnémeti";65
"Szakony";18
"Szany";66
"Szárföld";64
"Szerecseny";48
"Szil";66
"Szilsárkány";65
"Tarjánpuszta";48
"Táp";48
"Tápszentmiklós";48
"Tárnokréti";45
"Tényő";48
"Tét";46
"Töltéstava";48
"Újkér";18
"Újrónafő";95
"Und";18
"Vadosfa";65
"Vág";66
"Vámosszabadi";47
"Várbalog";95
"Vásárosfalu";66
"Veszkény";64
"Vének";47
"Vitnyéd";64
"Völcsej";112
"Zsebeháza";66
"Zsira";18
"Álmosd";163
"Ártánd";119
"Bagamér";163
"Bakonszeg";14
"Balmazújváros";49
"Báránd";14
"Bedő";119
"Berekböszörmény";119
"Berettyóújfalu";13
"Bihardancsháza";14
"Biharkeresztes";14
"Biharnagybajom";14
"Bihartorda";14
"Bocskaikert";50
"Bojt";119
"Csökmő";14
"Darvas";14
"Debrecen I. kerület";23
"II. kerület";23
"III. kerület";23
"IV. kerület";24
"Derecske";13
"Ebes";23
"Egyek";24
"Esztár";13
"Folyás";49
"Földes";24
"Furta";14
"Fülöp";115
"Gáborján";13
"Görbeháza";49
"Hajdúbagos";13
"Hajdúböszörmény";49
"Hajdúdorog";50
"Hajdúhadház";50
"Hajdúnánás";49
"Hajdúsámson";50
"Hajdúszoboszló";24
"Hajdúszovát";24
"Hencida";13
"Hortobágy";49
"Hosszúpályi";163
"Kaba";24
"Kismarja";119
"Kokad";163
"Komádi";14
"Konyár";13
"Körösszakál";14
"Körösszegapáti";14
"Létavértes";163
"Magyarhomorog";14
"Mezőpeterd";14
"Mezősas";14
"Mikepércs";24
"Monostorpályi";163
"Nagyhegyes";23
"Nagykereki";119
"Nagyrábé";14
"Nádudvar";24
"Nyíracsád";115
"Nyíradony";115
"Nyírábrány";115
"Nyírmártonfalva";115
"Pocsaj";163
"Polgár";49
"Püspökladány";24
"Sáp";14
"Sáránd";13
"Sárrétudvari";14
"Szentpéterszeg";13
"Szerep";14
"Tetétlen";24
"Téglás";50
"Tépe";13
"Tiszacsege";49
"Tiszagyulaháza";106
"Told";14
"Újiráz";14
"Újléta";163
"Újszentmargita";49
"Újtikos";49
"Vámospércs";24
"Váncsod";13
"Vekerd";14
"Zsáka";14
"Abasár";44
"Adács";43
"Aldebrő";30
"Andornaktálya";102
"Apc";44
"Atkár";43
"Átány";51
"Balaton";134
"Bátor";128
"Bekölce";128
"Besenyőtelek";51
"Bélapátfalva";134
"Boconád";51
"Bodony";128
"Boldog";41
"Bükkszenterzsébet";128
"Bükkszentmárton";134
"Bükkszék";128
"Csány";43
"Demjén";32
"Detk";43
"Domoszló";44
"Dormánd";30
"Ecséd";44
"Eger";31
"Egerbakta";32
"Egerbocs";128
"Egercsehi";128
"Egerfarmos";101
"Egerszalók";32
"Egerszólát";32
"Erdőkövesd";128
"Erdőtelek";51
"Erk";51
"Fedémes";128
"Feldebrő";31
"Felsőtárkány";102
"Füzesabony";30
"Gyöngyös";44
"Gyöngyöshalász";43
"Gyöngyösoroszi";44
"Gyöngyöspata";44
"Gyöngyössolymos";44
"Gyöngyöstarján";44
"Halmajugra";44
"Hatvan";43
"Heréd";169
"Heves";51
"Hevesaranyos";128
"Hevesvezekény";52
"Hort";43
"Istenmezeje";128
"Ivád";128
"Karácsond";43
"Kál";30
"Kápolna";30
"Kerecsend";31
"Kerekharaszt";43
"Kisfüzes";128
"Kisköre";52
"Kisnána";44
"Kompolt";30
"Kömlő";51
"Lőrinci";169
"Ludas";43
"Maklár";31
"Markaz";44
"Mátraballa";128
"Mátraderecske";128
"Mátraszentimre";44
"Mezőszemere";100
"Mezőtárkány";30
"Mikófalva";128
"Mónosbél";134
"Nagyfüged";43
"Nagykökényes";169
"Nagyréde";44
"Nagytálya";31
"Nagyút";30
"Nagyvisnyó";134
"Noszvaj";102
"Novaj";102
"Ostoros";102
"Parád";128
"Parádsasvár";128
"Pálosvörösmart";44
"Petőfibánya";169
"Pély";52
"Pétervására";128
"Poroszló";52
