Kod;MuvelesiAg;1;2;3;4;5;6;7;8
32;"kert";26.1;22.6;15.6;7.3;0;0;0;0
32;"gyümölcsös";26.1;22.6;15.6;7.3;0;0;0;0
32;"legelő";12.5;8.7;5.2;3.5;1.7;0.3;0;0
32;"nádas";0;0;0;0;0;0;0;0
32;"fásított terület";8;5.6;3.1;1;0;0;0;0
33;"szántó";43.4;34.8;27.8;22.6;15.6;11.1;6.6;3.5
33;"rét";46.9;43.4;40;27.8;26.1;17.4;12.2;7
33;"szőlő";113;83.4;62.6;43.4;33;19.1;13.9;6.3
33;"kert";52.1;46.9;40;22.6;17.4;7;0;0
33;"gyümölcsös";52.1;46.9;40;22.6;17.4;0;0;0
33;"legelő";18.2;12.2;7;4.2;2.8;1.4;0;0
33;"nádas";46.9;27.8;12.2;0;0;0;0;0
33;"fásított terület";12.2;11.1;9.4;7;3.8;1.6;0.7;0
34;"szántó";28.7;24.3;20.9;16.5;12.5;9.7;6.3;3.5
34;"rét";24.3;17.4;13.9;7;3.5;0;0;0
34;"szőlő";15.6;0;0;0;0;0;0;0
34;"kert";38.2;31.3;27.8;24.3;17.4;13.9;0;0
34;"gyümölcsös";38.2;31.3;27.8;24.3;0;0;0;0
34;"legelő";12.5;10.4;8.7;7;5.2;1.7;0;0
34;"nádas";8.7;0;0;0;0;0;0;0
34;"fásított terület";7.6;5.9;4.5;3.5;2.4;2.1;0;0
35;"szántó";22.6;18.2;16.5;13.2;9.7;6.6;4.2;3.1
35;"rét";23.5;20;16.5;13.9;9.4;5.6;3.8;2.8
35;"szőlő";24.3;0;0;0;0;0;0;0
35;"kert";29.5;26.1;22.6;15.6;12.2;8.7;0;0
35;"gyümölcsös";29.5;26.1;22.6;15.6;0;0;0;0
35;"legelő";11.1;9.4;7.6;5.9;4.2;1.7;0;0
35;"nádas";6.3;0;0;0;0;0;0;0
35;"fásított terület";5.6;3.8;3;2.3;1.6;0;0;0
36;"szántó";36.5;31.3;22.6;15.6;11.8;7.6;3.5;1.7
36;"rét";27.8;20.9;17.4;13.9;12.2;9.4;7;3.5
36;"szőlő";48.7;45.2;34.8;27.8;22.6;15.6;0;0
36;"kert";41.7;21.7;9;0;0;0;0;0
36;"gyümölcsös";41.7;21.7;0;0;0;0;0;0
36;"legelő";14.8;11.1;8.7;8;4.9;3.8;1.4;0.7
36;"nádas";50.4;36.5;27.8;17.4;7.6;0;0;0
36;"fásított terület";11.1;7;3.8;2.1;1.4;0.1;0;0
37;"szántó";36.5;31.3;22.6;15.6;10.4;6.6;3.1;1.4
37;"rét";27.8;20.9;17.4;13.9;8.7;7.6;4.2;3.3
37;"szőlő";45.2;34.8;27.8;0;0;0;0;0
37;"kert";31.3;18.2;9.4;0;0;0;0;0
37;"gyümölcsös";31.3;18.2;9.4;0;0;0;0;0
37;"legelő";12.5;6.3;4.9;2.1;1;0.7;0;0
37;"nádas";36.5;17.4;7.6;3.1;0;0;0;0
37;"fásított terület";11.1;7;3.8;1.9;1.4;0.1;0;0
38;"szántó";38.2;31.3;25.2;19.1;13.9;8.3;4.5;2.6
38;"rét";41.7;33;26.1;20.9;15.6;10.4;5.6;3
38;"szőlő";46.9;40;34.8;32.1;26.1;22.6;13.2;10.8
38;"kert";46.9;38.2;29.5;23.5;15.6;13.9;10.8;4.5
38;"gyümölcsös";46.9;38.2;29.5;23.5;15.6;13.9;10.8;4.5
38;"legelő";24.3;17.4;11.1;6.6;3.1;2.3;1.6;0.6
38;"nádas";0;0;0;0;0;0;0;0
38;"fásított terület";5.9;4.2;3.3;2.8;1.9;1.2;0.4;0
39;"szántó";31.3;26.1;20;14.8;10.1;7;3.5;2.1
39;"rét";27.8;22.6;18.2;13.9;10.4;8;4.5;2.6
39;"szőlő";33.9;27.8;24.3;20.9;16.5;12.5;8.3;5.6
39;"kert";34.8;26.9;19.1;15.6;12.5;9;5.2;3.1
39;"gyümölcsös";34.8;26.9;19.1;15.6;12.5;9;5.2;3.1
39;"legelő";12.5;7;5.2;3.1;1.9;1;0.7;0.3
39;"nádas";0;0;0;0;0;0;0;0
39;"fásított terület";5.6;4.2;3.5;2.6;1.9;1.2;0.7;0
40;"szántó";27.8;22.6;17.4;12.2;9;5.6;3.1;1.4
40;"rét";32.1;21.7;14.8;9.7;8;5.6;2.8;0
40;"szőlő";33.9;27.8;24.3;20.9;16.5;12.5;8.3;5.6
40;"kert";28.7;20.9;12.5;9.7;8;2.6;0;0
40;"gyümölcsös";28.7;20.9;12.5;9.7;8;2.6;0;0
40;"legelő";9.4;4.2;1.6;0.4;0;0;0;0
40;"nádas";0;0;0;0;0;0;0;0
40;"fásított terület";3.5;1.9;1.2;0.3;0;0;0;0
41;"szántó";40;36.5;31.3;27.8;20.9;13.9;4.9;2.3
41;"rét";50.4;41.7;34.8;27.8;17.4;13.9;10.4;5.2
41;"szőlő";53.9;40;33;20;12.5;0;0;0
41;"kert";53.9;38.2;26.9;17.4;7;0;0;0
41;"gyümölcsös";53.9;38.2;26.9;17.4;0;0;0;0
41;"legelő";17.4;13.9;7;4.2;2.1;0;0;0
41;"nádas";45.2;29.5;12.2;0;0;0;0;0
41;"fásított terület";8.3;7.3;5.6;4.9;2.6;2.1;1.4;0.1
42;"szántó";36.5;31.3;27.8;22.6;13.9;7;4.2;2.1
42;"rét";45.2;40;34.8;27.8;19.1;13.9;8.7;5.2
42;"szőlő";59.1;50.4;40;26.1;16.5;0;0;0
42;"kert";43.4;29.5;19.1;7;0;0;0;0
42;"gyümölcsös";43.4;29.5;19.1;0;0;0;0;0
42;"legelő";11.8;8.7;5.6;2.4;1;0;0;0
42;"nádas";55.6;29.5;12.2;0;0;0;0;0
42;"fásított terület";8.3;7.3;5.6;4.9;2.6;2.1;1.4;0.1
43;"szántó";41.7;38.2;33.9;27.8;20.9;14.8;8.7;4.2
43;"rét";45.2;38.2;33;8.7;1.7;0;0;0
43;"szőlő";104.3;73;48.7;27.8;0;0;0;0
43;"kert";50.4;38.2;31.3;26.9;0;0;0;0
43;"gyümölcsös";50.4;38.2;31.3;26.9;0;0;0;0
43;"legelő";26.9;20.9;11.1;5.2;2.8;1.4;0;0
43;"nádas";50.4;41.7;0;0;0;0;0;0
43;"fásított terület";11.5;7.6;0;0;0;0;0;0
44;"szántó";38.2;31.3;26.1;19.1;13.2;7.6;4.2;1.7
44;"rét";41.7;34.8;30.4;12.5;6.3;0;0;0
44;"szőlő";104.3;76.5;55.6;48.7;33;17.4;5.6;0
44;"kert";41.7;36.5;27.8;22.6;13.2;7.6;0;0
44;"gyümölcsös";41.7;36.5;27.8;22.6;0;0;0;0
44;"legelő";14.8;6.3;3.1;1.4;0.7;0;0;0
44;"nádas";0;0;0;0;0;0;0;0
44;"fásított terület";5.6;4.2;3.5;2.4;2.3;1.7;0.9;0
45;"szántó";43.4;40;29.5;26.1;18.2;12.2;7.3;3.1
45;"rét";52.1;36.5;29.5;25.2;16.5;14.8;5.9;2.6
45;"szőlő";32.1;0;0;0;0;0;0;0
45;"kert";53.9;43.4;22.6;12.2;7.3;0;0;0
45;"gyümölcsös";53.9;43.4;22.6;0;0;0;0;0
45;"legelő";26.1;16.5;13.9;8.7;6.3;2.3;0;0
45;"nádas";40;29.5;23.5;17.4;10.8;0;0;0
45;"fásított terület";11.1;9.7;8.7;8;7.3;5.6;4.2;1.7
46;"szántó";34.8;33;28.7;24.3;17.4;13.9;7;3.5
46;"rét";50.4;43.4;38.2;26.1;14.8;9;4.5;2.6
46;"szőlő";25.2;0;0;0;0;0;0;0
46;"kert";36.5;29.5;12.5;7.3;0;0;0;0
46;"gyümölcsös";36.5;29.5;12.5;0;0;0;0;0
46;"legelő";18.2;14.8;8.3;2.6;0;0;0;0
46;"nádas";40;24.3;11.8;0;0;0;0;0
46;"fásított terület";8.3;7.3;5.6;4.2;2.8;0;0;0
47;"szántó";50.4;43.4;33.9;31.3;26.1;18.2;10.4;3.8
47;"rét";64.3;52.1;38.2;31.3;20.9;14.8;5.9;2.6
47;"szőlő";32.1;18.2;0;0;0;0;0;0
47;"kert";85.1;62.6;53.9;43.4;40;27.8;18.2;7.3
47;"gyümölcsös";85.1;62.6;53.9;43.4;40;27.8;0;0
47;"legelő";26.1;17.4;14.8;9;6.3;0;0;0
47;"nádas";40;29.5;23.5;17.4;10.8;6.6;0;0
47;"fásított terület";9.7;8.7;7.3;6.3;5.2;4.2;0;0
48;"szántó";41.7;33.9;27.8;22.6;17.4;13.2;9.7;3.3
48;"rét";57.3;52.1;38.2;30.4;24.3;20.9;14.8;8
48;"szőlő";74.7;59.1;43.4;36.5;31.3;25.2;19.1;13.2
48;"kert";69.5;48.7;36.5;31.3;15.6;7.6;0;0
48;"gyümölcsös";69.5;48.7;36.5;31.3;15.6;0;0;0
48;"legelő";16.5;13.2;9;2.4;0;0;0;0
48;"nádas";40;29.5;23.5;17.4;0;0;0;0
48;"fásított terület";10.8;7.6;6.3;4.5;3.5;2.1;0;0
49;"szántó";38.2;32.1;26.1;19.1;10.4;6.3;2.4;1.6
49;"rét";31.3;21.7;15.6;8.7;1.7;1;0;0
49;"szőlő";36.5;26.9;20;13.9;11.1;3.5;0;0
49;"kert";43.4;29.5;24.3;17.4;10.4;0;0;0
49;"gyümölcsös";43.4;29.5;24.3;17.4;0;0;0;0
49;"legelő";18.2;8.7;5.9;2.8;1.2;0;0;0
49;"nádas";15.6;1.2;0;0;0;0;0;0
49;"fásított terület";15.6;12.2;9;5.6;3;0;0;0
50;"szántó";27.8;22.6;16.5;13.6;7;4.2;2.6;1.2
50;"rét";22.6;15.6;8.7;1.7;1;0;0;0
50;"szőlő";31.3;24.3;20;11.1;3.5;0;0;0
50;"kert";41.7;25.2;16.5;7.3;0;0;0;0
50;"gyümölcsös";41.7;25.2;0;0;0;0;0;0
50;"legelő";15.6;8.7;2.8;1;0;0;0;0
50;"nádas";15.6;1.2;0;0;0;0;0;0
50;"fásított terület";12.2;10.4;9;5.6;3;0;0;0
51;"szántó";40;34.8;29.5;24.3;17.4;11.1;6.3;3.1
51;"rét";41.7;34.8;28.7;26.1;19.1;13.9;5.2;2.8
51;"szőlő";69.5;55.6;41.7;27.8;17.4;0;0;0
51;"kert";45.2;36.5;31.3;24.3;0;0;0;0
51;"gyümölcsös";45.2;36.5;31.3;24.3;0;0;0;0
51;"legelő";21.7;17.4;13.9;10.4;7;4.2;2.8;1
51;"nádas";41.7;26.1;17.4;0;0;0;0;0
51;"fásított terület";11.1;9;5.6;0;0;0;0;0
52;"szántó";34.8;31.3;26.1;21.7;15.6;10.4;5.6;2.4
52;"rét";32.1;27.8;24.3;20.9;17.4;12.2;3.5;1.7
52;"szőlő";34.8;31.3;26.1;0;0;0;0;0
52;"kert";41.7;33;26.1;20.9;0;0;0;0
